timestamp,city,video_index,car,bus,truck,total
1759754932,New York,2,1,2,1,4
1759754936,New York,2,2,2,2,6
1759754936,Roswell,3,1,0,0,1
1759754939,Tokyo,0,2,0,0,2
1759754939,Roswell,3,1,0,0,1
1759754942,Colorado,1,0,0,1,1
1759754942,Colorado,1,0,0,0,0
1759754947,New York,2,1,3,0,4
1759754947,Tokyo,0,1,0,0,1
1759754950,Roswell,3,1,0,0,1
1759754951,New York,2,0,3,0,3
1759754953,Tokyo,0,1,0,0,1
1759754955,Roswell,3,1,0,0,1
1759754957,Colorado,1,3,0,1,4
1759754958,Colorado,1,4,0,0,4
1759754960,New York,2,5,2,0,7
1759754962,Tokyo,0,3,0,0,3
1759754963,Roswell,3,1,0,0,1
1759754965,New York,2,1,1,0,2
1759754966,Tokyo,0,4,0,0,4
1759754968,Roswell,3,1,0,0,1
1759754969,Colorado,1,1,0,1,2
1759754972,Colorado,1,1,0,0,1
1759754972,New York,2,0,2,1,3
1759754975,Tokyo,0,6,0,0,6
1759754975,Roswell,3,1,0,0,1
1759754978,New York,2,1,2,1,4
1759754978,Tokyo,0,7,0,0,7
1759754981,Colorado,1,0,0,0,0
1759754982,Roswell,3,1,0,0,1
1759754984,New York,2,0,2,0,2
1759754985,Colorado,1,3,0,0,3
1759754987,Roswell,3,1,0,0,1
1759754989,Tokyo,0,6,1,0,7
1759754991,Tokyo,0,2,0,0,2
1759754992,New York,2,0,2,0,2
1759754994,Colorado,1,0,0,0,0
1759754995,Roswell,3,1,0,0,1
1759754997,New York,2,1,2,0,3
1759754998,Colorado,1,0,0,0,0
1759755000,Roswell,3,1,0,0,1
1759755002,Tokyo,0,1,0,0,1
1759755003,Tokyo,0,0,0,0,0
1759755006,New York,2,1,3,1,5
1759755006,Colorado,1,3,0,1,4
1759755009,Roswell,3,1,0,0,1
1759755009,New York,2,3,4,1,8
1759755012,Roswell,3,1,0,0,1
1759755012,Colorado,1,3,0,0,3
1759755015,Tokyo,0,13,0,0,13
1759755016,Tokyo,0,14,0,0,14
1759755018,Colorado,1,7,0,0,7
1759755019,New York,2,3,3,1,7
1759755022,New York,2,2,1,0,3
1759755023,Roswell,3,4,0,0,4
1759755025,Roswell,3,3,0,0,3
1759755026,Colorado,1,9,0,0,9
1759755028,Tokyo,0,11,0,0,11
1759755030,Tokyo,0,12,0,0,12
1759755031,Colorado,1,9,0,0,9
1759755033,New York,2,0,1,0,1
1759755035,New York,2,1,1,0,2
1759755038,Roswell,3,0,0,1,1
1759755038,Roswell,3,1,0,1,2
1759755041,Tokyo,0,9,0,0,9
1759755042,Colorado,1,8,0,0,8
1759755045,Colorado,1,6,0,0,6
1759755046,Tokyo,0,8,0,0,8
1759755048,New York,2,3,1,0,4
1759755049,New York,2,2,1,0,3
1759755051,Roswell,3,2,0,0,2
1759755053,Roswell,3,1,0,0,1
1759755055,Tokyo,0,8,0,0,8
